medcodeid,term
4768851000006110,Cerebral degeneration in mucopolysaccharidosis
7574911000006113,CASK - Calcium/calmodulin-dependent serine protein kinase related intellectual disability
2379351000000119,Died in learning disability unit
12008551000006117,Craniodigital syndrome and intellectual disability syndrome
3980931000006116,MR - Mental retardation
7826561000006110,"MEHMO (mental retardation, epileptic seizures, hypogonadism and hypogenitalism, microcephaly, obesity) syndrome"
1823961000006113,Learning disability confirmed
2474675019,Referral to learning disability team
296586012,[X]Other mental retardation
8190841000006117,HoNOS-LD (health of the nation outcome scale for learning disabilities) score
7735011000006111,"Mental retardation, truncal obesity, retinal dystrophy and micropenis syndrome"
7953491000006117,"Preaxial polydactyly, colobomata, intellectual disability syndrome"
8367721000006112,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 16 score - level of self-care
8365491000006114,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 9 - problems associated with mood changes
12026121000006113,"Focal epilepsy, intellectual disability, dysarthria, ataxia syndrome"
7750931000006111,FRAXE intellectual disability syndrome
7953971000006110,"Thumb stiffness, brachydactyly, intellectual disability syndrome"
2740281000000114,Profound mental retardation without impairment of behaviour
1158111000000115,Preferred place of care - learning disability unit
1755021000006118,Learning disability annual health check invitation second letter
8365521000006111,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 11 - problems with eating and drinking
8027821000006113,Health of the Nation Outcome Scale for learning disabilities
7804531000006116,Arachnodactyly with abnormal ossification and intellectual disability syndrome
7742591000006119,Microcephaly with deafness and intellectual disability syndrome
1162931000000119,Learning disability annual health check telephone invitation
12703791000006110,Moderate mental retardation (I.Q. 35-49)
1860901000006112,Preferred place of care no longer learning disability unit
189611000000113,Learning disabilities health action plan offered
7825831000006111,"Lipodystrophy, intellectual disability, deafness syndrome"
3003321000006115,Profound learning disability with intelligence quotient less than 20
3756861000006116,Borderline mental retardation (Intelligence Quotient 70-85)
406158011,FH: Mental retardation
3505254013,"Alpha thalassemia intellectual disability syndrome, deletion type"
8296691000006110,Sheffield learning disabilities outcome measure score
12000381000006119,"Charcot-Marie-Tooth disease, deafness, intellectual disability syndrome"
7782201000006116,X-linked intellectual disability with cubitus valgus and dysmorphism syndrome
7958321000006118,"Hypo-and hypermelanotic cutaneous macules, retarded growth, intellectual disability syndrome"
8365571000006112,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 16 - level of self-care
1009551000006113,Cause of learning disabilities: Birth trauma
2474709017,Learning disabilities health action plan reviewed
7519881000006116,"Blepharophimosis-mental retardation syndrome, Say-Barber-Biesecker-Young-Simpson type"
2740541000000115,Mental retardation with minimal impairment of behaviour
7864361000006119,"Scaphocephaly, macrocephaly, maxillary retrusion, intellectual disability syndrome"
3155151000006112,Severe learning disability
7559961000006113,"Iris coloboma with ptosis, hypertelorism, and mental retardation"
3505255014,"Alpha thalassaemia intellectual disability syndrome, deletion type"
398201000006115,[X]Mental deficiency NOS
306561000000113,Seen in learning disabilities clinic
8367771000006113,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 3 score - other mental and behavioural problems
12177531000006112,Profound intellectual disability
7783991000006114,Pterygium colli with intellectual disability and digital anomaly syndrome
7874991000006119,X-linked intellectual disability Brooks type
296574014,"[X]Severe mental retardation, other impairments of behaviour"
1009541000006111,Cause of learning disabilities: Tuberous sclerosis
404861000006115,[X]Oth mental retard with statement no or min impairm behav
7882141000006114,X-linked intellectual disability Nascimento type
7782481000006112,X-linked intellectual disability with hypogammaglobulinaemia and progressive neurological deterioration syndrome
1222495016,[D]Global retardation
7749261000006115,AAMR ABS (American Association on Mental Retardation Adaptive Behaviour Scale) score
1009581000006117,Cause of learning disabilities: Late effect of head injury
7782191000006119,X-linked intellectual disability with corpus callosum agenesis and spastic quadriparesis syndrome
1941111000006118,Clinical Outcomes in Routine Evaluation Learning Disabilities
7850381000006114,"Retinitis pigmentosa, intellectual disability, deafness, hypogenitalism syndrome"
8459511000006116,Learning disability annual health check invitation email
8461341000006115,Enhanced/Intensive Support for learning disability
189601000000111,Learning disabilities administration status
7828691000006119,Severe X-linked intellectual disability Gustavson type
8187211000006115,Assessment using health of the nation outcome scale for learning disabilities
6862101000006113,Xerodermic idiocy
7758091000006113,X-linked epilepsy with learning disability and behaviour disorder syndrome
8434101000006114,Learning Disability and Communication TOM (Therapy Outcome Measure) participation score
7959541000006113,"MLCRD (microcephaly with or without chorioretinopathy, lymphedema or intellectual disability) syndrome"
7758071000006112,Microphthalmia with ankyloblepharon and intellectual disability syndrome
7740741000006119,Congenital cataract with intellectual disability and anal atresia and urinary defect syndrome
12026111000006117,"Focal epilepsy, intellectual disability, cerebro-cerebellar malformation syndrome"
302211000000112,Learning disabilities annual health assessment
8459481000006112,Learning disability annual health check invitation SMS (short message service) text message
3507761000006117,Late familial amaurotic idiocy
1009691000006115,Cause of learning disabilities: Other
251223010,Learning difficulties
7749231000006112,American Association on Mental Retardation Adaptive Behaviour Scale score
151009017,Mental retardation
7826081000006110,"Intellectual disability, balding, patella luxation, acromicria syndrome"
7953021000006110,Marfanoid habitus with autosomal recessive intellectual disability syndrome
1009531000006118,Cause of learning disabilities: Down's syndrome
12359021000006117,Lubs X-linked intellectual disability syndrome
201751000006110,Profound mental retardation with IQ less than 20
8367671000006115,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 11 score - problems with eating and drinking
3047021000006119,Hyperphosphatasemia with mental retardation
7782501000006119,X-linked intellectual disability and hypotonia with facial dysmorphism and aggressive behaviour syndrome
7803961000006117,Aniridia and intellectual disability syndrome
5117631000006115,Nutritional mental retardation
7844061000006110,Non-progressive cerebellar ataxia with intellectual disability
7775171000006116,Assessment using CORE - LD (Clinical Outcomes in Routine Evaluation - Learning Disabilities)
7749251000006117,AAMR ABS (American Association on Mental Retardation Adaptive Behavior Scale) score
6862091000006119,"Mental retardation, dwarfism, and gonadal hypoplasia due to xeroderma pigmentosa"
7772961000006115,CORE-LD (Clinical Outcomes in Routine Evaluation Learning Disabilities) risk score
7827461000006112,"Osteogenesis imperfecta, retinopathy, seizures, intellectual disability syndrome"
7780351000006110,X-linked intellectual disability Schimke type
7846651000006111,"Severe intellectual disability, epilepsy, anal anomaly, distal phalangeal hypoplasia syndrome"
8367801000006110,HoNOS-LD (Health of the Nation Outcome Scales for People with Learning Disabilities) rating scale 6 score - communication (problems with understanding)
7831901000006114,Mental retardation syndrome Belgian type
7850391000006112,"Retinitis pigmentosa, deafness, mental retardation, hypogonadism syndrome"
