medcodeid,term,originalreadcode,cleansedreadcode,snomedctconceptid,snomedctdescriptionid,release,emiscodecategoryid
915091000006115,Visual impairment: difficulty reading newspaper print,EMISNQVI5,,915091000006104,915091000006115,,27
5997611000006111,Lip/speech-reading teacher,^ESCTLI599761,,310198007,453791012,,31
7408761000006118,Lip-reading training device,^ESCTLI740876,,463142007,2933500011,,31
12116811000006113,ALPS (Aphasia Language Performance Scales) reading scale score,^ESCT1211681,,1098351000000100,2750041000000112,,31
7805191000006111,Reading Comprehension Battery for Aphasia Second Edition score,^ESCTRE780519,,720552009,3321184016,,31
7785011000006118,Assessment using NART (National Adult Reading Test),^ESCTAS778501,,719314001,3317420010,,31
8365761000006113,Assessment using Salford Sentence Reading Test,^ESCTAS836576,,985811000000108,2506711000000115,,31
6919081000006118,Reading card,^ESCTRE691908,,418295001,2580212011,,31
7409381000006116,Reading assistive training device,^ESCTRE740938,,463212002,2933054018,,31
5597951000006112,Four alternative disability and speech-reading test,^ESCTFO559795,,277351007,413840015,,31
7755871000006110,Gray Silent Reading Test,^ESCTGR775587,,717040009,3308245019,,31
5555191000006118,Reading comprehension battery for aphasia,^ESCTRE555519,,273736002,409331013,,31
7768351000006110,National Adult Reading Test score,^ESCTNA776835,,718153007,3311315016,,31
7793261000006114,New Salford Sentence Reading Test,^ESCTNE779326,,719940002,3318535011,,31
5951361000006119,Referral by lip/speech-reading teacher,^ESCTRE595136,,306094005,448969018,,31
4721781000006114,Lip-reading training,^ESCTLI472178,,183281008,283306017,,32
427291000006110,[X]Specific reading disorder,Eu810,Eu81000,192136006,295627019,,32
427301000006111,[X]Specific reading retardation,Eu810-3,Eu81013,192136006,295627019,,32
427331000006115,[X]Specific spelling retardation without reading disorder,Eu811-1,Eu81111,268738002,401908016,,32
982651000006110,Difficulty reading or writing,EMISCDI56,,982651000006106,982651000006110,,27
6008771000006118,Lip spreading exercise,^ESCTLI600877,,311715008,455328014,,31
8363021000006117,Neale Analysis of Reading Ability - Revised Edition,^ESCTNE836302,,981341000000103,2495701000000116,,31
7471991000006111,Large letter reading material,^ESCTLA747199,,470445001,2940277014,,31
16222019,Word blindness,E2F01-1,E2F0111,9236007,16222019,,32
92487017,Dyscalculia,E2F1,E2F1.00,55640002,92487017,,32
295633011,Specific learning difficulty,E2F2,E2F2.00,161129001,251223010,,17
12702211000006116,Specific learning difficulty,^ESCT1270221,,889211000000104,2290321000000117,,32
1872721000006112,Special education needs - specific learning disability,EMISNQSP33,,1872721000006108,1872721000006112,,37
