medcodeid,term,qofclusterid,qofclusterdesc,qofsnomedctconceptid,snomedctdescriptionid
2502391000006115,Focal status epilepticus,EPIL_COD,Epilepsy diagnosis codes,241006,3011480015
2502401000006118,Kojevnikov epilepsy,EPIL_COD,Epilepsy diagnosis codes,241006,3012395017
2550890017,Generalised nonconvulsive epilepsy,EPIL_COD,Epilepsy diagnosis codes,192979009,297264018
2612101000006119,Petit mal status,EPIL_COD,Epilepsy diagnosis codes,7033004,12602012
2612111000006116,Epileptic absence status,EPIL_COD,Epilepsy diagnosis codes,7033004,12603019
2612121000006112,Non-convulsive status epilepticus with impaired consciousness,EPIL_COD,Epilepsy diagnosis codes,7033004,501552010
2612131000006110,Prolonged epileptic twilight state,EPIL_COD,Epilepsy diagnosis codes,7033004,501553017
2612141000006117,Epilepsia minoris continua,EPIL_COD,Epilepsy diagnosis codes,7033004,501554011
2612161000006118,Status pyknolepticus,EPIL_COD,Epilepsy diagnosis codes,7033004,501556013
2612171000006113,Spike wave stupor,EPIL_COD,Epilepsy diagnosis codes,7033004,501557016
2721471000006114,Convulsive status epilepticus,EPIL_COD,Epilepsy diagnosis codes,13973009,475622017
2811081000006110,Generalized epilepsy,EPIL_COD,Epilepsy diagnosis codes,19598007,32997016
2950391000006116,Salaam attacks,EPIL_COD,Epilepsy diagnosis codes,28055006,46971011
2950411000006116,West's syndrome,EPIL_COD,Epilepsy diagnosis codes,28055006,196645013
