"MedCodeID","Term","QOFClusterID","QOFClusterDesc","QOFSnomedCTConceptId","SnomedCTDescriptionId","QOFUnmatchedCodeDescription"
,,"CAN_COD","Codes for relevant malignancies","94270002",,"Secondary malignant neoplasm of cystic duct"
,,"CAN_COD","Codes for relevant malignancies","94271003",,"Secondary malignant neoplasm of descending colon"
,,"CAN_COD","Codes for relevant malignancies","94349006",,"Secondary malignant neoplasm of intrahepatic bile ducts"
,,"CAN_COD","Codes for relevant malignancies","94348003",,"Secondary malignant neoplasm of intra-abdominal organs"
,,"CAN_COD","Codes for relevant malignancies","94272005",,"Secondary malignant neoplasm of diaphragm"
,,"CAN_COD","Codes for relevant malignancies","94273000",,"Secondary malignant neoplasm of dorsal surface of tongue"
,,"CAN_COD","Codes for relevant malignancies","94274006",,"Secondary malignant neoplasm of thoracic vertebral column"
,,"CAN_COD","Codes for relevant malignancies","94280003",,"Secondary malignant neoplasm of endocrine gland"
,,"CAN_COD","Codes for relevant malignancies","94345000",,"Secondary malignant neoplasm of intestinal lymph nodes"
,,"CAN_COD","Codes for relevant malignancies","94320003",,"Secondary malignant neoplasm of greater curvature of stomach"
,,"CAN_COD","Codes for relevant malignancies","94277004",,"Secondary malignant neoplasm of ectopic male breast tissue"
,,"CAN_COD","Codes for relevant malignancies","94343007",,"Secondary malignant neoplasm of inner aspect of upper lip"
,,"CAN_COD","Codes for relevant malignancies","94342002",,"Secondary malignant neoplasm of inner aspect of lower lip"
,,"CAN_COD","Codes for relevant malignancies","94341009",,"Secondary malignant neoplasm of inner aspect of lip"
,,"CAN_COD","Codes for relevant malignancies","94340005",,"Secondary malignant neoplasm of inguinal region"
,,"CAN_COD","Codes for relevant malignancies","94339008",,"Secondary malignant neoplasm of inguinal lymph nodes"
,,"CAN_COD","Codes for relevant malignancies","94278009",,"Secondary malignant neoplasm of endocardium"
,,"CAN_COD","Codes for relevant malignancies","94346004",,"Secondary malignant neoplasm of intestinal tract"
,,"CAN_COD","Codes for relevant malignancies","94290006",,"Secondary malignant neoplasm of exocervix"
