medcodeid,term,qofclusterid,qofclusterdesc,qofsnomedctconceptid,snomedctdescriptionid
7508001000006112,CABG (Coronary artery bypass grafting) planned,CHD_COD,Coronary heart disease (CHD) codes,698378009,2974213018
7508011000006110,Coronary artery bypass grafting planned,CHD_COD,Coronary heart disease (CHD) codes,698378009,2974215013
7508021000006119,CABG (coronary artery bypass graft) operation planned,CHD_COD,Coronary heart disease (CHD) codes,698378009,2337671000000113
7789771000006114,Non-obstructive atherosclerosis of coronary artery,CHD_COD,Coronary heart disease (CHD) codes,719678003,3317410017
7844010,Preinfarction syndrome,CHD_COD,Coronary heart disease (CHD) codes,4557003,494262012
7845011,Unstable angina,CHD_COD,Coronary heart disease (CHD) codes,4557003,7845011
7847015,Crescendo angina,CHD_COD,Coronary heart disease (CHD) codes,4557003,7847015
7966931000006114,Angina associated with type 2 diabetes mellitus,CHD_COD,Coronary heart disease (CHD) codes,791000119109,2967773018
7966941000006116,Angina associated with type II diabetes mellitus,CHD_COD,Coronary heart disease (CHD) codes,791000119109,2967590010
7966951000006119,Diabetic angina pectoris associated with type 2 diabetes mellitus,CHD_COD,Coronary heart disease (CHD) codes,791000119109,2967662015
810811000006116,H/O: myocardial infarct <60,CHD_COD,Coronary heart disease (CHD) codes,161502000,251675010
810821000006112,H/O: myocardial infarct >60,CHD_COD,Coronary heart disease (CHD) codes,161503005,251678012
813961000006116,Haemopericardium/current comp folow acut myocard infarct,CHD_COD,Coronary heart disease (CHD) codes,194862000,299816014
884141000006116,Coronary thrombosis,CHD_COD,Coronary heart disease (CHD) codes,57054005,884141000006116
884151000006119,Myocardial Infarction,CHD_COD,Coronary heart disease (CHD) codes,57054005,884151000006119
89332015,Atherosclerotic heart disease,CHD_COD,Coronary heart disease (CHD) codes,443502000,2842265012
931961000006117,Acute coronary syndrome,CHD_COD,Coronary heart disease (CHD) codes,194823009,931961000006117
94884017,Acute myocardial infarction,CHD_COD,Coronary heart disease (CHD) codes,57054005,94884017
967931000006114,Acute posterolateral myocardial infarction,CHD_COD,Coronary heart disease (CHD) codes,15990001,27071012
98087016,Angina decubitus,CHD_COD,Coronary heart disease (CHD) codes,59021001,98087016
